Combination,Pop_size,Gens,xo_prob,mut_prob,Selection,Crossover,Mutation,min_Fitness
swap_mutation_fps_discrete_crossover,50,100,0.9,0.1,fps,discrete_crossover,swap_mutation,96.2
swap_mutation_tournament_sel_discrete_crossover,50,100,0.9,0.1,tournament_sel,discrete_crossover,swap_mutation,9.5
swap_mutation_ranking_discrete_crossover,50,100,0.9,0.1,ranking,discrete_crossover,swap_mutation,574.9
swap_mutation_fps_single_point_co,50,100,0.9,0.1,fps,single_point_co,swap_mutation,104.1
swap_mutation_tournament_sel_single_point_co,50,100,0.9,0.1,tournament_sel,single_point_co,swap_mutation,97.8
swap_mutation_ranking_single_point_co,50,100,0.9,0.1,ranking,single_point_co,swap_mutation,551.2
swap_mutation_fps_two_point_crossover,50,100,0.9,0.1,fps,two_point_crossover,swap_mutation,126.3
swap_mutation_tournament_sel_two_point_crossover,50,100,0.9,0.1,tournament_sel,two_point_crossover,swap_mutation,91.8
swap_mutation_ranking_two_point_crossover,50,100,0.9,0.1,ranking,two_point_crossover,swap_mutation,536.0999999999999
swap_mutation_fps_uniform_crossover,50,100,0.9,0.1,fps,uniform_crossover,swap_mutation,26.4
swap_mutation_tournament_sel_uniform_crossover,50,100,0.9,0.1,tournament_sel,uniform_crossover,swap_mutation,3.6
swap_mutation_ranking_uniform_crossover,50,100,0.9,0.1,ranking,uniform_crossover,swap_mutation,577.1
binary_mutation_fps_discrete_crossover,50,100,0.9,0.1,fps,discrete_crossover,binary_mutation,10.7
binary_mutation_tournament_sel_discrete_crossover,50,100,0.9,0.1,tournament_sel,discrete_crossover,binary_mutation,79.6
binary_mutation_ranking_discrete_crossover,50,100,0.9,0.1,ranking,discrete_crossover,binary_mutation,495.8
binary_mutation_fps_single_point_co,50,100,0.9,0.1,fps,single_point_co,binary_mutation,131.2
binary_mutation_tournament_sel_single_point_co,50,100,0.9,0.1,tournament_sel,single_point_co,binary_mutation,28.7
binary_mutation_ranking_single_point_co,50,100,0.9,0.1,ranking,single_point_co,binary_mutation,547.1
binary_mutation_fps_two_point_crossover,50,100,0.9,0.1,fps,two_point_crossover,binary_mutation,113.4
binary_mutation_tournament_sel_two_point_crossover,50,100,0.9,0.1,tournament_sel,two_point_crossover,binary_mutation,28.7
binary_mutation_ranking_two_point_crossover,50,100,0.9,0.1,ranking,two_point_crossover,binary_mutation,544.4
binary_mutation_fps_uniform_crossover,50,100,0.9,0.1,fps,uniform_crossover,binary_mutation,12.299999999999999
binary_mutation_tournament_sel_uniform_crossover,50,100,0.9,0.1,tournament_sel,uniform_crossover,binary_mutation,4.1
binary_mutation_ranking_uniform_crossover,50,100,0.9,0.1,ranking,uniform_crossover,binary_mutation,532.5
inversion_mutation_fps_discrete_crossover,50,100,0.9,0.1,fps,discrete_crossover,inversion_mutation,3.6
inversion_mutation_tournament_sel_discrete_crossover,50,100,0.9,0.1,tournament_sel,discrete_crossover,inversion_mutation,3.6
inversion_mutation_ranking_discrete_crossover,50,100,0.9,0.1,ranking,discrete_crossover,inversion_mutation,591.5000000000001
inversion_mutation_fps_single_point_co,50,100,0.9,0.1,fps,single_point_co,inversion_mutation,3.6
inversion_mutation_tournament_sel_single_point_co,50,100,0.9,0.1,tournament_sel,single_point_co,inversion_mutation,15.0
inversion_mutation_ranking_single_point_co,50,100,0.9,0.1,ranking,single_point_co,inversion_mutation,546.5999999999999
inversion_mutation_fps_two_point_crossover,50,100,0.9,0.1,fps,two_point_crossover,inversion_mutation,4.1
inversion_mutation_tournament_sel_two_point_crossover,50,100,0.9,0.1,tournament_sel,two_point_crossover,inversion_mutation,3.6
inversion_mutation_ranking_two_point_crossover,50,100,0.9,0.1,ranking,two_point_crossover,inversion_mutation,616.9000000000001
inversion_mutation_fps_uniform_crossover,50,100,0.9,0.1,fps,uniform_crossover,inversion_mutation,3.6
inversion_mutation_tournament_sel_uniform_crossover,50,100,0.9,0.1,tournament_sel,uniform_crossover,inversion_mutation,3.6
inversion_mutation_ranking_uniform_crossover,50,100,0.9,0.1,ranking,uniform_crossover,inversion_mutation,508.6
